id,URL,date observed,date observed (timestamp milliseconds),flora,current name,current common name,original name,family,wikidata id,valid,license,latitude,longitude,place,college,personal note,images,tags,image1
1033214919,https://identify.plantnet.org/k-northern-europe/observations/1033214919,11/09/2026,1.78913E+12,k-northern-europe,Genista hispanica L.,Spanish gorse,Genista hispanica L.,Fabaceae,Q2710447,TRUE,cc-by-sa,52.20344438,0.110792498,"Cambridge, England, United Kingdom",King's College,,https://bs.plantnet.org/image/o/dcacd165078be51370ec026c65208bb95788f90f (leaf),,https://bs.plantnet.org/image/o/dcacd165078be51370ec026c65208bb95788f90f#leaf
1033214914,https://identify.plantnet.org/k-northern-europe/observations/1033214914,11/09/2026,1.78913E+12,k-northern-europe,Thuja occidentalis L.,White cedar,Thuja occidentalis L.,Cupressaceae,Q135485308,FALSE,cc-by-sa,52.20342716,0.110517313,"Cambridge, England, United Kingdom",King's College,,https://bs.plantnet.org/image/o/f1dbfaddecd2b410a69d7597edcc6d1860fb0ff2 (bark),,https://bs.plantnet.org/image/o/f1dbfaddecd2b410a69d7597edcc6d1860fb0ff2#bark
1033214906,https://identify.plantnet.org/k-northern-europe/observations/1033214906,11/09/2026,1.78913E+12,k-northern-europe,Pinus pinaster Aiton,Maritime pine,Pinus pinaster Aiton,Pinaceae,Q271582,FALSE,cc-by-sa,52.20330517,0.110372681,"Cambridge, England, United Kingdom",King's College,,https://bs.plantnet.org/image/o/d0ed6b85b4b67d8859ce4fbcb51ad74c95d62b01 (bark),,https://bs.plantnet.org/image/o/d0ed6b85b4b67d8859ce4fbcb51ad74c95d62b01#bark
1033214894,https://identify.plantnet.org/k-northern-europe/observations/1033214894,11/09/2026,1.78913E+12,k-northern-europe,Sequoiadendron giganteum (Lindl.) J.Buchholz,Giant Sequoia,Sequoiadendron giganteum (Lindl.) J.Buchholz,Cupressaceae,Q149851,FALSE,cc-by-sa,52.2,0.11,"Cambridge, England, United Kingdom",King's College,,https://bs.plantnet.org/image/o/314b9559f69288690069fc9ee11de9a67580b511 (bark),,https://bs.plantnet.org/image/o/314b9559f69288690069fc9ee11de9a67580b511#bark
1033214890,https://identify.plantnet.org/k-northern-europe/observations/1033214890,11/09/2026,1.78913E+12,k-northern-europe,Arum cylindraceum Gasp.,Lords and Ladies,Arum cylindraceum Gasp.,Araceae,Q1233923,FALSE,cc-by-sa,52.20391021,0.11058844,"Cambridge, England, United Kingdom",King's College,,https://bs.plantnet.org/image/o/d87a331ba86a635d2902b30ae9038f47d57586b8 (fruit),,https://bs.plantnet.org/image/o/d87a331ba86a635d2902b30ae9038f47d57586b8#fruit
1033214881,https://identify.plantnet.org/k-northern-europe/observations/1033214881,11/09/2026,1.78913E+12,k-northern-europe,Allium cristophii Trautv.,Persian onion,Allium cristophii Trautv.,Amaryllidaceae,Q1399928,FALSE,cc-by-sa,52.20392783,0.110011337,"Cambridge, England, United Kingdom",King's College,,https://bs.plantnet.org/image/o/58f81af65e9ca48c3c6aa4979f8b592ddb2e8949 (flower),,https://bs.plantnet.org/image/o/58f81af65e9ca48c3c6aa4979f8b592ddb2e8949#flower
1033214877,https://identify.plantnet.org/k-world-flora/observations/1033214877,11/09/2026,1.78913E+12,k-world-flora,Veronicastrum virginicum (L.) Farw.,Culver's root,Veronicastrum virginicum (L.) Farw.,Plantaginaceae,Q4108065,FALSE,cc-by-sa,52.20405082,0.109940497,"Cambridge, England, United Kingdom",King's College,,https://bs.plantnet.org/image/o/7bc4ff728a07c16f44005337538754f0f3699df7 (flower),,https://bs.plantnet.org/image/o/7bc4ff728a07c16f44005337538754f0f3699df7#flower
1033214866,https://identify.plantnet.org/k-northern-europe/observations/1033214866,11/09/2026,1.78913E+12,k-northern-europe,Urtica dioica L.,Stinging nettle,Urtica dioica L.,Urticaceae,Q155909,TRUE,cc-by-sa,52.20408351,0.110287735,"Cambridge, England, United Kingdom",King's College,,https://bs.plantnet.org/image/o/30e8484d434499e0b33a683ee0562e899e5daa85 (leaf),,https://bs.plantnet.org/image/o/30e8484d434499e0b33a683ee0562e899e5daa85#leaf
1033214859,https://identify.plantnet.org/k-northern-europe/observations/1033214859,11/09/2026,1.78913E+12,k-northern-europe,Rudbeckia fulgida Aiton,Black eyed Susan,Rudbeckia fulgida Aiton,Asteraceae,Q450250,FALSE,cc-by-sa,52.20356205,0.110045239,"Cambridge, England, United Kingdom",King's College,,https://bs.plantnet.org/image/o/fb48a27b6f8a904849db98c771269bc475b14ef2 (flower),,https://bs.plantnet.org/image/o/fb48a27b6f8a904849db98c771269bc475b14ef2#flower
1033214850,https://identify.plantnet.org/k-northern-europe/observations/1033214850,11/09/2026,1.78913E+12,k-northern-europe,Hypericum androsaemum L.,Tutsan,Hypericum androsaemum L.,Hypericaceae,Q886411,FALSE,cc-by-sa,52.20356669,0.109961321,"Cambridge, England, United Kingdom",King's College,,https://bs.plantnet.org/image/o/81af46b4e94cf4468274ab4dc0fabf56d9231f1b (leaf),,https://bs.plantnet.org/image/o/81af46b4e94cf4468274ab4dc0fabf56d9231f1b#leaf
